site_net_kwh,site_net_kvarh,kva,tariff
3.229330639,1.802487683,14.79326237,OFF-PEAK
3.229330639,1.802487683,14.79326237,OFF-PEAK
3.269089839,1.767082243,14.86446933,OFF-PEAK
3.269089839,1.767082243,14.86446933,OFF-PEAK
3.18073606,1.775958084,14.57181334,OFF-PEAK
3.18073606,1.775958084,14.57181334,OFF-PEAK
3.18073606,1.8113176,14.64128592,OFF-PEAK
3.18073606,1.8113176,14.64128592,OFF-PEAK
3.176318371,1.842213119,14.68754442,OFF-PEAK
3.176318371,1.842213119,14.68754442,OFF-PEAK
3.216077572,1.820102569,14.7815714,OFF-PEAK
3.216077572,1.820102569,14.7815714,OFF-PEAK
3.229330639,1.811455978,14.81077939,OFF-PEAK
3.229330639,1.811455978,14.81077939,OFF-PEAK
3.171900682,1.842204637,14.6722442,OFF-PEAK
3.171900682,1.842204637,14.6722442,OFF-PEAK
3.167482993,1.837761721,14.64803968,OFF-PEAK
3.167482993,1.837761721,14.64803968,OFF-PEAK
3.163065304,1.846667753,14.65068676,OFF-PEAK
3.163065304,1.846667753,14.65068676,OFF-PEAK
3.255836772,1.855476387,14.9897382,OFF-PEAK
3.255836772,1.855476387,14.9897382,OFF-PEAK
3.277925217,1.820088232,14.99734105,OFF-PEAK
3.277925217,1.820088232,14.99734105,OFF-PEAK
3.235914278,1.921791137,15.05426047,OFF-PEAK
3.235914278,1.921791137,15.05426047,OFF-PEAK
3.125472053,1.802603463,14.4321612,OFF-PEAK
3.125472053,1.802603463,14.4321612,OFF-PEAK
0.628105509,3.18032891,12.96704037,PEAK
0.628105509,3.18032891,12.96704037,PEAK
3.168276667,5.453585436,25.22841926,PEAK
3.168276667,5.453585436,25.22841926,PEAK
-3.626595971,5.040899544,24.83960275,PEAK
-3.626595971,5.040899544,24.83960275,PEAK
-1.925785717,6.094017323,25.5642556,PEAK
-1.925785717,6.094017323,25.5642556,PEAK
-5.956537724,4.949034853,30.9769689,PEAK
-5.956537724,4.949034853,30.9769689,PEAK
-4.432435029,6.569141,31.69860407,PEAK
-4.432435029,6.569141,31.69860407,PEAK
-6.83081832,6.614078827,38.03285267,PEAK
-6.83081832,6.614078827,38.03285267,PEAK
-6.662946139,6.789996434,38.05236452,PEAK
-6.662946139,6.789996434,38.05236452,PEAK
-7.624441853,6.705420126,40.61423842,PEAK
-7.624441853,6.705420126,40.61423842,PEAK
-7.430063538,6.957993901,40.71747012,PEAK
-7.430063538,6.957993901,40.71747012,PEAK
-6.756949629,6.745811828,38.19158976,PEAK
-6.756949629,6.745811828,38.19158976,PEAK
-11.16580322,2.414407867,45.69543119,PEAK
-11.16580322,2.414407867,45.69543119,PEAK
-6.308869513,5.161256825,32.60439395,PEAK
-6.308869513,5.161256825,32.60439395,PEAK
-4.568300058,6.81012345,32.80174308,PEAK
-4.568300058,6.81012345,32.80174308,PEAK
-1.426605198,6.600257413,27.01069427,PEAK
-1.426605198,6.600257413,27.01069427,PEAK
-1.329416041,6.670974304,27.20860016,PEAK
-1.329416041,6.670974304,27.20860016,PEAK
5.068330463,6.71490836,33.65185712,PEAK
5.068330463,6.71490836,33.65185712,PEAK
5.152266553,6.697249767,33.79917279,PEAK
5.152266553,6.697249767,33.79917279,PEAK
7.076721111,6.32244936,37.95857692,PEAK
7.076721111,6.32244936,37.95857692,PEAK
3.140560237,2.018896179,14.93402043,PEAK
3.140560237,2.018896179,14.93402043,PEAK
3.454632776,2.051024362,16.07043922,PEAK
3.454632776,2.051024362,16.07043922,PEAK
3.286760595,1.949377038,15.28547862,PEAK
3.286760595,1.949377038,15.28547862,PEAK
3.326519796,1.842480209,15.21076843,PEAK
3.326519796,1.842480209,15.21076843,PEAK
3.357443619,1.877711851,15.38738676,PEAK
3.357443619,1.877711851,15.38738676,PEAK
3.277925217,1.886500207,15.12808078,PEAK
3.277925217,1.886500207,15.12808078,PEAK
3.273507528,1.859915292,15.05995295,PEAK
3.273507528,1.859915292,15.05995295,PEAK
3.176318371,1.744994124,14.49634596,PEAK
